,3707c8b9b636fb9e748b9f6f30a62214fb62ee52402dfbcc49c70c9f44e5692a/EE2001/2019/1/28,7408e5feac8f0b308653a14ae6bc3756b0abd11c9e1fd68b40ef2db635a0778a/EE2001/2019/1/11,f06b28eb10000ae246c66122ea1818aa3b0d58a785ac33a63431d94946bc3e29/EE2001/2019/1/65,c9e90b7fa09f4550c1803d159e04dc1fe87cfbd227fb40443849ee98241bd077/EE2001/2019/1/12,5780b4395acd925b406ddf0f7a7a0c323b59c5cb359cd113b672ae519fe0ad2b/EE2001/2019/1/11,56f7c956483c5e948aea59a63f63c91d8f64c9285317bf085e122c1c67858db8/EE2001/2019/1/50,e852112892ff638ab5eed52339987aa2697807c9b0929a14567a1043b8aa680d/EE2001/2019/1/71,3056a0692c97d4723d360f87e295597b943765da90ad51c8bb321d35ad145f32/EE2001/2019/1/59,713ba1419a2eb5f594194d2ea2a26a58dfa696cafc5591dfa407347f5c779591/EE2001/2019/1/65,7092112db569933047e954ed034cb81c9977f7cfc51506f3187ada65f166b7dc/EE2001/2019/1/49,b2ae36ecb8ed8e0a0d394083cc8ca1dbf0d5a2e4763b7afddc30f29cc335f23f/EE2001/2019/1/85,ce1691bc91cb0804484a2a6a5ff9d37fd77a9056e319d760ab2fdd324317517a/EE2001/2019/1/55,f2e58ee5765032b26f2f849958b9f40ed4997c70474e34478150e3b6c98b26e5/EE2001/2019/1/75,50335afc131eb6740cd29254a4413cbaa95667e883d15cc08e11c1e2b5b97bdd/EE2001/2019/1/68,68bf312e8ef1cbbd2ac529d021456bda73d40afce22f0bbebdcf6dfd9d00e053/EE2001/2019/1/45,39a8721d5223320113dc58070186f18ccb91c9b507d2e0f6d589d60b3a52c0be/EE2001/2019/1/40,dcafa4978cd464db0997b0247c041e80ed45563e07a35550390798ae86b59e07/EE2001/2019/1/87,f113e942d5ad67d0ec2fb8b5bc94e1983bc03afb85a66cfec39df48236ae41a8/EE2001/2019/1/82,fb254da2566279d627088a0bf91a79924f6b7209250f84f433d373610c78441c/EE2001/2019/1/49,1ecea718729a9aa583cfd47c8c3e1cfd6e3df4e7a84484578043aa9bdcbf354d/EE2001/2019/1/26
49,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,
121,0.51,0.31,0.46,,0.75,0.62,0.71,0.67,,,,,,,,,,,,
122,0.7,0.69,0.64,0.67,0.78,0.76,0.67,0.68,,,,,,,,,,,,
123,0.72,0.78,0.77,,0.74,0.73,0.8,0.72,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,
125,0.79,0.78,0.56,,0.78,0.5,,0.71,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,
127,0.42,,,,0.5,0.49,0.7,0.54,,,,,,,,,,,,
128,,0.27,0.4,0.28,,,,,,,,,,,,,,,,
129,,,,0.5,,,,,,,,,,,,,,,,
130,,,,0.45,,,,,,,,,,,,,,,,
131,,,,,0.79,,,0.15,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,
136,0.66,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,
140,0.4,,0.5,0.31,0.58,0.56,0.52,0.53,,,,,,,,,,,,
141,,0.79,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,
144,0.24,,0.32,,0.66,0.22,0.47,0.5,,,,,,,,,,,,
145,,,,,,,0.77,,,,,,,,,,,,,
146,0.41,0.25,0.32,,0.59,0.56,0.48,0.53,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,
148,,0.74,,0.66,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,
152,,0.67,,0.5,,,0.4,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,
155,,,,,,0.55,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,
157,,,,0.7,,,,,,,,,,,,,,,,
158,,,,0.29,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,
160,,0.44,,0.1,,,,,,,,,,,,,,,,
161,,,,,,,,,0.59,0.63,0.85,,0.62,0.63,0.63,0.54,0.83,0.77,0.61,0.48
162,,,,,,,,,0.75,0.73,0.75,,0.65,0.65,0.76,0.74,0.72,0.66,0.72,0.67
163,,,,,,,,,0.72,0.71,0.78,,0.72,0.73,0.75,0.75,0.73,0.73,0.74,0.64
164,0.21,0.3,0.36,,,0.49,,,,,,,0.78,,,,0.85,0.82,,
165,,,,,,,,,,,,,,,,,,,,
166,,,0.4,,,,,,,,,,,,,,,,,
167,,,,,,,,,0.52,,0.71,,0.68,0.46,,0.46,0.8,0.82,0.46,0.4
168,,,,,,,,,,0.63,,0.47,,,0.58,,,,,
169,,,,,,,,,,,,0.4,,,,,,,,
170,0.6,0.21,0.5,,0.68,0.5,,0.49,,,,,,,,,,,,
171,,,,,,,,,,0.57,0.96,,,,,,,,0.71,
172,0.27,,,,0.61,,,0.62,,,,,,,,,,,,
173,0.4,,,0.06,0.7,,,0.55,,,,,,,,,,,,
174,,,,,,,,,,,,,0.72,,,,,,,
175,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,
177,,0.71,,,,,,,,,,,,,,,,,,
178,,,,0.07,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,0.75,0.62,0.9,,0.79,0.58,0.66,0.76,0.85,0.81,0.67,0.45
181,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,
184,0.04,,0.37,,,,,,0.76,0.56,0.85,,,0.55,0.4,0.56,,,0.45,
185,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,0.7,0.57,0.7,,0.74,0.49,0.5,0.57,0.87,,0.57,0.18
187,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,
190,,0.44,,,,,,,,,0.74,,0.67,0.47,,,0.8,,0.46,
191,,,,,,,,,,,,,,,,,,,,
192,,,0.55,,,,,,,,,,,,,,,0.96,,
193,,,,,,,,,,,,0.45,0.81,,,,,,,
194,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,
197,0.78,,,,,0.73,,0.73,,,,,,,,,,,,
198,,,,,,,,0.55,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,
